segment,customers,total_revenue,avg_revenue_per_customer,revenue_share_%
Active Repeat,353,125211.87,354.7078470254957,0.7821404847351606
Churn Risk,2644,818810.84,309.68639939485627,5.11473159297121
One-time,93099,15064849.41,161.81537299004285,94.10312792229362
